Values
115
109
119
96
114
91
92
83
83
128
100
107
90
88
105
93
105
103
97
106
112
104
116
85
106
89
102
95
102
92
112
89
78
83
92
77
97
120
114
89
97
80
99
86
96
112
102
117
90
99
80
80
83
87
93
84
87
79
96
114
